,name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval,table_category,experiment_seria,benchmark_path
2,mati-sim 3-layers 100_000_fotonow_cube,0.9514743673677444,0.0,452501603.0,5.704118905810156e-08,925328898.0,0.0335509337793431,,,,,,,0.001741942411338,0.0417365836088437,0.001741942411338,0.0417365836088437,0.5001862352717643,0.0,0.5005143370297083,0.0,0.0283796296296296,1.5124052290258713e-15,0.772533040088471,0.3794370194592001,0.953081713421144,0.0,0.1202111730206903,0.9043161466905362,0.5548899373160101,0.5789728180728899,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim 3-layers,CUBES/mati-sim 3-layers/mati-sim 3-layers 1_000_000_cube.json
3,mati-sim 3-layers 100_fotonow_cube,0.1652897549621559,3.330827791149201e-262,77580050.0,0.0,79602160.0,0.0,,,,,,,0.1276183570699618,0.357237116030742,0.1276183570699618,0.357237116030742,0.5,0.0,0.5005143370297083,0.0,0.9571296296296296,0.0,20.332273150405733,6.5178773959004665e-06,0.1877107182954256,0.0,-14.004529871337976,1.6361973016800842e-44,-14.971791516996433,1.5037626122462318e-50,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim 3-layers,CUBES/mati-sim 3-layers/mati-sim 3-layers 1_000_000_cube.json
4,mati-sim 3-layers 10_000_fotonow_cube,0.8800456268310198,0.0,436132840.0,7.686470139221407e-32,869004978.0,1.493232701597613e-68,,,,,,,0.0044715718748383,0.0668698128817357,0.0044715718748383,0.0668698128817357,0.5,0.0,0.5005143370297083,0.0,0.1897916666666666,0.0,29.030533608176384,7.143218781787122e-08,0.8851404030416828,0.0,-0.7463811272905205,0.455439247415351,-2.195035081159909,0.0281663827672269,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim 3-layers,CUBES/mati-sim 3-layers/mati-sim 3-layers 1_000_000_cube.json
5,mati-sim 3-layers 1_000_000_cube,0.9792640963130856,0.0,183617.0,0.7031823884096045,933051815.5,0.9851596212176148,,,,,,,0.000698340146627,0.0264261262130316,0.000698340146627,0.0264261262130316,0.5005143370297083,0.0,0.5005143370297083,0.0,0.0007407407407408,1.0,0.0007926692107676,0.977539085990206,0.9810761759508548,0.0,-0.012369367930767,0.9901309525251956,-0.0899167667276755,0.928353774058674,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim 3-layers,CUBES/mati-sim 3-layers/mati-sim 3-layers 1_000_000_cube.json
0,random_cube,-0.0082373770934223,0.1064917515612379,109705397.0,0.0,1327128782.0,0.0,,,,,,,339.99945660486446,18.439074179710445,339.99945660486446,18.439074179710445,0.9999999865153356,0.0,0.5,0.0,0.89390625,0.0,2729.0595962097213,0.0,-0.0056375303310464,0.269290195779077,9.972289969061071,2.0824961047321225e-23,9.971479499504388,2.169423312577081e-23,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim veins,CUBES/mati-sim veins/mati-sim veins 100_000_fotonów_cube.json
1,mati-sim veins 1000_fotonów_cube,0.3443887218409915,0.0,92359454.0,0.0,278738642.5,0.0,,,,,,,452.5689519467833,21.27366804166088,452.5689519467833,21.27366804166088,0.5,0.0,0.5,0.0,0.6893229166666667,0.0,96.77635494229754,8.006847921605564e-23,0.3797536406276271,0.0,-11.224711605513042,3.2499330820957976e-29,-14.242667340666928,6.519646124326823e-46,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim veins,CUBES/mati-sim veins/mati-sim veins 100_000_fotonów_cube.json
2,mati-sim veins 100_000_fotonów_cube,0.9891837085173024,0.0,31857.0,0.1254786585520341,736696932.0,0.8488407529231117,,,,,,,7.787022212619158,2.790523644877276,7.787022212619158,2.790523644877276,0.5,0.0,0.5,0.0,0.0009635416666666,1.0,0.000455575948083,0.982971120633506,0.9884847886385668,0.0,-0.0272978407651826,0.9782222499762055,-0.2543854640584877,0.7991991418572735,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim veins,CUBES/mati-sim veins/mati-sim veins 100_000_fotonów_cube.json
3,mati-sim veins 100_fotonow_propEnvVec_cube,0.0232461532435626,5.219541644321507e-06,1259400.0,0.0,151210889.5,0.0,,,,,,,373.2241612189618,19.319010358166945,373.2241612189618,19.319010358166945,0.5,0.0,0.5,0.0,0.7957291666666667,0.0,2839.672117342602,0.0,-0.0017737609304009,0.7281603642799888,-55.02423481439112,0.0,-55.010673392316185,0.0,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim veins,CUBES/mati-sim veins/mati-sim veins 100_000_fotonów_cube.json
4,mati-sim veins 100_fotonów_cube,0.0611424347572117,3.901538727704121e-33,5243769.0,0.0,156455025.5,0.0,,,,,,,407.90217922272905,20.1965883065118,407.90217922272905,20.1965883065118,0.5,0.0,0.5,0.0,0.7915625,0.0,2183.485470278149,0.0,0.0141530059408397,0.0055463651033245,-48.41488692811788,0.0,-48.641041872765946,0.0,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim veins,CUBES/mati-sim veins/mati-sim veins 100_000_fotonów_cube.json
5,mati-sim veins 10_000_fotonów_cube,0.7243172047806025,0.0,192915189.0,2.144522403803875e-161,572502853.0,0.0,,,,,,,148.6052572804764,12.190375600467624,148.6052572804764,12.190375600467624,0.5,0.0,0.5,0.0,0.3550520833333334,0.0,0.0008876459489902,0.9762319096923674,0.7816170896480531,0.0,-1.4293029063894425,0.1529212585461011,-3.058527774820222,0.0022258055512789,compare_all_cubes_universal_srednie_2D,dodatkowe mati-sim veins,CUBES/mati-sim veins/mati-sim veins 100_000_fotonów_cube.json
0,random_cube,-0.0046862138695767,0.3300622860484838,96730740.0,0.0,1733073738.0,0.0,,,,,,,0.2269783285887632,0.4764224266223865,,,0.5475815838145274,0.0,0.5,0.0,0.9255787037037037,0.0,1331.5101370625343,2.596279151069324e-289,-0.0014002758730364,0.7710256251743272,19.80367048134621,4.323253949268682e-87,19.803355754635508,6.776792910717103e-87,compare_all_cubes_universal_srednie_2D,my demo,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
1,mati-sim 100k_original_params_cube,0.9021958862189756,0.0,137562933.0,8.239458912889744e-219,816569562.5,1.3823237048225399e-250,,,,,,,0.0156904796573568,0.1252616447974275,,,0.5,0.0,0.5,0.0,0.2033796296296295,0.0,0.0260208393769501,0.8718498120245695,0.9646903762458442,0.0,-0.1615645766087622,0.871649132305138,-0.8597146381459687,0.3899511344572652,compare_all_cubes_universal_srednie_2D,my demo,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
2,mati-sim 10k_original_params_cube,0.803647200792257,0.0,112680433.0,0.0,714261934.0,0.0,,,,,,,0.0255512156485159,0.1598474762031479,,,0.5,0.0,0.5,0.0,0.3230324074074074,0.0,0.2119734819522587,0.6452261456474668,0.9419956127476308,0.0,-0.4606608468685444,0.645043109030231,-1.9121501525085047,0.0558635447859317,compare_all_cubes_universal_srednie_2D,my demo,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
3,mati-sim 10mln_original_params_cube,0.9898436178127644,0.0,32411.0,0.4011284052142587,933383404.5,0.9410034637297536,,,,,,,0.0051351402311061,0.0716598927651038,,,0.5,0.0,0.5,0.0,0.0005092592592592,1.0,0.0139347854321187,0.9060317283105463,0.988519736636104,0.0,0.1180459445646692,0.9060315282700112,1.1013706889903605,0.2707414933911324,compare_all_cubes_universal_srednie_2D,my demo,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
